time,swiggy,zomato,Eatsure,Eatclub,Dominoz,BigBasket,Dunzo,zepto,Blinkit,Others,Total deliveries
2022-10-25 7:00:00,0,0,0,0,0,2,1,0,0,0,3
2022-10-25 8:00:00,1,0,0,0,0,2,0,0,1,0,4
2022-10-25 9:00:00,1,0,0,0,0,0,1,1,1,0,4
2022-10-25 10:00:00,0,1,0,0,0,0,1,2,0,0,4
2022-10-25 11:00:00,3,0,0,0,0,0,1,0,1,1,6
2022-10-25 12:00:00,8,3,0,2,0,0,0,0,0,0,13
2022-10-25 13:00:00,9,3,0,0,0,0,0,0,0,0,12
2022-10-25 14:00:00,5,2,1,1,0,0,0,0,1,0,10
2022-10-25 15:00:00,7,0,0,0,0,0,2,3,0,0,12
2022-10-25 16:00:00,3,1,0,1,0,1,3,2,1,0,12
2022-10-25 17:00:00,1,1,0,0,0,1,0,1,0,1,5
2022-10-25 18:00:00,4,2,0,0,0,1,2,0,0,0,9
2022-10-25 19:00:00,9,3,0,0,0,0,3,0,0,1,16
2022-10-25 20:00:00,17,8,0,0,0,1,0,3,2,0,31
2022-10-25 21:00:00,11,1,0,0,0,0,0,0,1,0,13
2022-10-25 22:00:00,11,0,0,1,0,0,2,3,0,0,17
2022-10-25 23:00:00,7,1,0,0,0,0,0,2,0,0,10
2022-10-26 0:00:00,4,1,1,0,1,0,0,1,0,0,8
2022-10-26 1:00:00,3,0,0,1,0,0,0,0,0,0,4
2022-10-26 2:00:00,1,1,1,0,0,0,0,0,0,0,3
2022-10-26 3:00:00,1,0,0,0,0,0,0,0,0,0,1
2022-10-26 4:00:00,0,1,0,0,0,0,0,0,0,0,1
2022-10-26 5:00:00,0,0,0,0,0,0,0,0,0,0,0
2022-10-26 6:00:00,0,0,0,0,0,0,1,0,0,0,1
2022-10-26 7:00:00,1,0,0,0,0,1,0,0,0,0,2
2022-10-26 8:00:00,0,1,0,0,0,2,0,1,0,0,4
2022-10-26 9:00:00,0,0,0,0,0,0,0,1,0,0,1
2022-10-26 10:00:00,3,0,0,0,0,0,0,0,1,0,4
2022-10-26 11:00:00,3,1,0,0,0,0,2,0,0,0,6
2022-10-26 12:00:00,1,2,0,0,0,0,0,0,0,0,3
2022-10-26 13:00:00,12,1,0,2,0,0,0,2,0,0,17
2022-10-26 14:00:00,2,0,0,0,0,0,0,1,0,0,3
2022-10-26 15:00:00,4,0,0,0,0,0,0,0,1,0,5
2022-10-26 16:00:00,4,2,0,0,0,0,0,0,0,0,6
